# PRIMO 0.1.3.1177
# Default CT number to mass density conversion table
# Maximum density is gold 19.3 g/cm^3
# Last modified: Dec/2014.
17
  0  0.0010
  8  0.0010
 24  0.0010
521  0.5000
904  0.9500
1000 1.0000
1048 1.0500
1128 1.1000
1528 1.3340
1976 1.6030
2488 1.8500
2824 2.1000
3224 2.4000
3640 2.7000
3832 2.8300
4000 4.5400
5000 19.300
